year_month,mean_temp,median_temp,var_temp,min_temp,max_temp,mean_prcp,median_prcp,var_prcp,min_prcp,max_prcp
1983-02,49.91063829787234,53.7,148.01180941989463,14.2,65.9,0.01365217391304348,0.0,0.009381363204860459,0.0,1.1
1983-03,54.681640625,57.8,127.20950474877445,22.1,74.6,0.04094117647058823,0.0,0.10249281148679949,0.0,3.9
1983-04,55.83376068376069,62.05,262.60602270643045,2.9,74.1,0.01482905982905983,0.0,0.028170142327867662,0.0,2.52
1983-05,66.99823008849557,71.25,141.09155240904602,23.6,83.0,0.00460093896713615,0.0,0.0016079767915670134,0.0,0.51
1983-06,71.70166666666667,74.25,65.59697198879562,53.1,87.0,0.04525,0.0,0.04849741596638656,0.0,2.09
1983-07,75.06666666666668,75.1,42.45990196078431,58.7,89.9,0.02449275362318841,0.0,0.007825106564364873,0.0,0.55
1983-08,75.60972222222222,74.4,48.23103090766834,64.3,91.0,0.007183098591549296,0.0,0.0015719517102615694,0.0,0.31
1983-09,66.50246913580247,66.9,174.10374382716037,36.0,89.4,0.02425,0.0,0.0150576582278481,0.0,0.91
1983-10,53.60121951219512,50.8,73.71049232158991,41.5,72.1,0.007804878048780488,0.0,0.0010790725685034626,0.0,0.25
1983-11,45.471538461538465,46.5,195.03740071556348,9.1,72.4,0.008157894736842105,0.0,0.0008576385654401488,0.0,0.16
1983-12,27.673076923076923,30.35,419.8912850327965,-30.8,70.1,0.0051428571428571435,0.0,0.0004925274725274726,0.0,0.2
1984-01,38.26271186440678,36.2,406.50189714946066,-4.4,80.2,0.03807453416149068,0.0,0.04519189440993789,0.0,2.48
1984-02,45.11030303030303,43.4,353.53312490761255,5.9,77.9,0.061474358974358975,0.0,0.07054039288668319,0.0,2.8
1984-03,47.5339393939394,46.8,312.6329874353286,12.4,78.7,0.09968354430379747,0.0,0.2641941667338549,0.0,5.2
1984-04,55.830232558139535,57.7,131.34603197674411,34.4,80.9,0.07082644628099173,0.0,0.10492931129476588,0.0,2.91
1984-05,60.57863247863248,58.8,104.80790156203949,39.9,85.1,0.06495726495726495,0.0,0.031573489537282645,0.0,1.02
1984-06,67.35047619047619,68.9,127.75694688644704,43.9,92.1,0.019615384615384614,0.0,0.007949365197908892,0.0,0.55
1984-07,65.58064516129032,68.7,130.1270126227207,42.5,87.1,0.05354430379746835,0.0,0.02931035378123984,0.0,0.94
1984-08,72.55873015873016,73.1,28.03472094214024,60.9,80.9,0.047619047619047616,0.0,0.018347465437788018,0.0,0.75
1984-09,67.1012987012987,66.3,167.47618250170882,40.1,104.9,0.007333333333333334,0.0,0.0011792792792792795,0.0,0.28
